PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF13193	PF13700	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	2
PF13302	PF13700	Low	NA	NA	NA	Acetyltransferase (GNAT) domain	21839	2
PF13411	PF13700	Low	GO:0006355	BP	regulation of transcription, DNA-templated	MerR HTH family regulatory protein	23482	2
PF13460	PF13700	Low	NA	NA	NA	NAD(P)H-binding	18965	2
PF13481	PF13700	Low	NA	NA	NA	AAA domain	23597	2
PF13489	PF13700	Low	NA	NA	NA	Methyltransferase domain	22564	2
PF13507	PF13700	Low	NA	NA	NA	CobB/CobQ-like glutamine amidotransferase domain	22881	2
PF13522	PF13700	High	NA	NA	NA	Glutamine amidotransferase domain	23919	2
PF13561	PF13700	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	2
PF13603	PF13700	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	2
PF13614	PF13700	Low	NA	NA	NA	AAA domain	21665	2
PF13793	PF13700	Low	NA	NA	NA	N-terminal domain of ribose phosphate pyrophosphokinase	24674	2
PF14572	PF13700	Low	GO:0009165	BP	nucleotide biosynthetic process	Phosphoribosyl synthetase-associated domain	23237	2
PF14602	PF13700	Low	NA	NA	NA	Hexapeptide repeat of succinyl-transferase	21203	2
PF14748	PF13700	Low	NA	NA	NA	Pyrroline-5-carboxylate reductase dimerisation	21767	2
PF01381	PF13711	Low	NA	NA	NA	Helix-turn-helix	24979	3093
PF10387	PF13711	Very high	NA	NA	NA	Protein of unknown function (DUF2442)	4259	3093
PF12698	PF13732	Low	NA	NA	NA	ABC-2 family transporter protein	18878	2
PF00464	PF13776	Low	NA	NA	NA	Serine hydroxymethyltransferase	25446	139
PF00999	PF13776	Low	GO:0055085	BP	transmembrane transport	Sodium/hydrogen exchanger family	23035	139
PF00999	PF13776	Low	GO:0006812	BP	cation transport	Sodium/hydrogen exchanger family	23035	139
PF01035	PF13776	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	139
PF01381	PF13776	Low	NA	NA	NA	Helix-turn-helix	24979	139
PF02661	PF13776	Very high	NA	NA	NA	Fic/DOC family	17866	139
PF06418	PF13776	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	139
PF12700	PF13776	Low	NA	NA	NA	HlyD family secretion protein	22145	139
PF13414	PF13776	Low	NA	NA	NA	TPR repeat	23116	139
PF09983	PF13835	Low	NA	NA	NA	Uncharacterized protein conserved in bacteria C-term(DUF2220)	2637	209
PF11795	PF13835	High	NA	NA	NA	Uncharacterized protein conserved in bacteria N-term (DUF3322)	1264	209
PF11855	PF13835	High	NA	NA	NA	Protein of unknown function (DUF3375)	1925	209
PF13555	PF13835	High	NA	NA	NA	P-loop containing region of AAA domain	4197	209
PF13558	PF13835	High	NA	NA	NA	Putative exonuclease SbcCD, C subunit	12801	209
PF00474	PF13937	High	GO:0055085	BP	transmembrane transport	Sodium:solute symporter family	19033	5
PF04016	PF13938	High	NA	NA	NA	Putative heavy-metal chelation	1734	NA
PF10536	PF13952	Very high	NA	NA	NA	Plant mobile domain	1	933
PF11314	PF14017	Low	NA	NA	NA	Protein of unknown function (DUF3117)	2958	364
PF00044	PF14022	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	25811	658
PF00118	PF14022	Low	NA	NA	NA	TCP-1/cpn60 chaperonin family	25718	658
PF00121	PF14022	Low	GO:0008152	BP	metabolic process	Triosephosphate isomerase	26009	658
PF00140	PF14022	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Sigma-70 factor, region 1.2	26307	658
PF00140	PF14022	Low	GO:0006352	BP	DNA-templated transcription, initiation	Sigma-70 factor, region 1.2	26307	658
PF00154	PF14022	Low	GO:0006281	BP	DNA repair	recA bacterial DNA recombination protein	26266	658
PF00162	PF14022	Low	GO:0006096	BP	glycolytic process	Phosphoglycerate kinase	25988	658
PF00163	PF14022	Low	NA	NA	NA	Ribosomal protein S4/S9 N-terminal domain	25984	658
PF00164	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S12/S23	25224	658
PF00166	PF14022	Low	GO:0006457	BP	protein folding	Chaperonin 10 Kd subunit	25494	658
PF00177	PF14022	Low	NA	NA	NA	Ribosomal protein S7p/S5e	25184	658
PF00181	PF14022	Low	GO:0006412	BP	translation	Ribosomal Proteins L2, RNA binding domain	25441	658
PF00189	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S3, C-terminal domain	25660	658
PF00203	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S19	25552	658
PF00237	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L22p/L17e	25623	658
PF00238	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L14p/L23e	25796	658
PF00252	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L16p/L10e	25740	658
PF00276	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L23	25636	658
PF00281	PF14022	Low	NA	NA	NA	Ribosomal protein L5	25773	658
PF00297	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L3	25562	658
PF00298	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L11, RNA binding domain	25295	658
PF00308	PF14022	Low	NA	NA	NA	Bacterial dnaA  protein	26017	658
PF00318	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S2	26126	658
PF00333	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S5, N-terminal domain	25896	658
PF00338	PF14022	Low	NA	NA	NA	Ribosomal protein S10p/S20e	25443	658
PF00344	PF14022	Low	GO:0015031	BP	protein transport	SecY translocase	26195	658
PF00347	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L6	25913	658
PF00366	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S17	25760	658
PF00380	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S9/S16	26095	658
PF00398	PF14022	Low	NA	NA	NA	Ribosomal RNA adenine dimethylase	25999	658
PF00406	PF14022	Low	NA	NA	NA	Adenylate kinase	26291	658
PF00410	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S8	25908	658
PF00416	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S13/S18	25979	658
PF00436	PF14022	Low	NA	NA	NA	Single-strand binding protein family	26309	658
PF00438	PF14022	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	658
PF00453	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L20	26122	658
PF00466	PF14022	Low	GO:0042254	BP	ribosome biogenesis	Ribosomal protein L10	25304	658
PF00542	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L7/L12 C-terminal domain	25267	658
PF00562	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 6	25250	658
PF00572	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L13	26186	658
PF00573	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L4/L1 family	25668	658
PF00623	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 2	24707	658
PF00627	PF14022	Low	NA	NA	NA	UBA/TS-N domain	25202	658
PF00673	PF14022	Low	NA	NA	NA	ribosomal L5P family C-terminus	25842	658
PF00684	PF14022	Low	NA	NA	NA	DnaJ central domain	25246	658
PF00707	PF14022	Low	GO:0006413	BP	translational initiation	Translation initiation factor IF-3, C-terminal domain	26041	658
PF00712	PF14022	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	658
PF00750	PF14022	Low	NA	NA	NA	tRNA synthetases class I (R)	26268	658
PF00772	PF14022	Low	GO:0006260	BP	DNA replication	DnaB-like helicase N terminal domain	26173	658
PF00828	PF14022	Low	NA	NA	NA	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	25814	658
PF00829	PF14022	Low	NA	NA	NA	Ribosomal prokaryotic L21 protein	25967	658
PF00830	PF14022	Low	NA	NA	NA	Ribosomal L28 family	24806	658
PF00831	PF14022	Low	GO:0006412	BP	translation	Ribosomal L29 protein	25386	658
PF00834	PF14022	Low	GO:0005975	BP	carbohydrate metabolic process	Ribulose-phosphate 3 epimerase family	25588	658
PF00861	PF14022	Low	GO:0006412	BP	translation	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	25789	658
PF00889	PF14022	Low	GO:0006414	BP	translational elongation	Elongation factor TS	26290	658
PF01000	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb3/RpoA insert domain	26091	658
PF01016	PF14022	Low	GO:0006412	BP	translation	Ribosomal L27 protein	26025	658
PF01035	PF14022	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	658
PF01043	PF14022	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	658
PF01084	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	658
PF01132	PF14022	Low	GO:0006414	BP	translational elongation	Elongation factor P (EF-P) OB domain	25781	658
PF01193	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb3/Rpb11 dimerisation domain	26195	658
PF01195	PF14022	Low	NA	NA	NA	Peptidyl-tRNA hydrolase	26231	658
PF01196	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L17	26215	658
PF01197	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L31	25995	658
PF01230	PF14022	Low	NA	NA	NA	HIT domain	25244	658
PF01245	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L19	26142	658
PF01250	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S6	26036	658
PF01367	PF14022	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	658
PF01381	PF14022	Low	NA	NA	NA	Helix-turn-helix	24979	658
PF01406	PF14022	Low	NA	NA	NA	tRNA synthetases class I (C) catalytic domain	26293	658
PF01411	PF14022	Low	GO:0006419	BP	alanyl-tRNA aminoacylation	tRNA synthetases class II (A)	26398	658
PF01632	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	658
PF01649	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S20	25931	658
PF01653	PF14022	Low	NA	NA	NA	NAD-dependent DNA ligase adenylation domain	25453	658
PF01668	PF14022	Low	NA	NA	NA	SmpB protein	25791	658
PF01807	PF14022	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	658
PF02096	PF14022	Low	NA	NA	NA	60Kd inner membrane protein	26063	658
PF02357	PF14022	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	658
PF02367	PF14022	Low	GO:0002949	BP	tRNA threonylcarbamoyladenosine modification	Threonylcarbamoyl adenosine biosynthesis protein TsaE	25787	658
PF02403	PF14022	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	658
PF02739	PF14022	Low	NA	NA	NA	5'-3' exonuclease, N-terminal resolvase-like domain	26057	658
PF02767	PF14022	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	658
PF02768	PF14022	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	658
PF02772	PF14022	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	658
PF02800	PF14022	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	25864	658
PF03118	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	Bacterial RNA polymerase, alpha chain C terminal domain	25713	658
PF03120	PF14022	Low	GO:0006281	BP	DNA repair	NAD-dependent DNA ligase OB-fold domain	25333	658
PF03120	PF14022	Low	GO:0006260	BP	DNA replication	NAD-dependent DNA ligase OB-fold domain	25333	658
PF03143	PF14022	Low	NA	NA	NA	Elongation factor Tu C-terminal domain	24618	658
PF03484	PF14022	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	658
PF03485	PF14022	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	Arginyl tRNA synthetase N terminal domain	25575	658
PF03719	PF14022	Low	GO:0006412	BP	translation	Ribosomal protein S5, C-terminal domain	25975	658
PF03772	PF14022	Low	NA	NA	NA	Competence protein	24341	658
PF03946	PF14022	Low	NA	NA	NA	Ribosomal protein L11, N-terminal domain	25256	658
PF03947	PF14022	Low	GO:0006412	BP	translation	Ribosomal Proteins L2, C-terminal domain	25556	658
PF03952	PF14022	Low	NA	NA	NA	Enolase, N-terminal domain	24728	658
PF04560	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 7	25047	658
PF04561	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 2	24752	658
PF04563	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit	24982	658
PF04565	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 3	24765	658
PF04851	PF14022	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	658
PF04983	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 3	24922	658
PF04997	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 1	24706	658
PF04998	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 5	25447	658
PF05491	PF14022	Low	GO:0006281	BP	DNA repair	RuvB C-terminal winged helix domain	25667	658
PF05491	PF14022	Low	GO:0006310	BP	DNA recombination	RuvB C-terminal winged helix domain	25667	658
PF05697	PF14022	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	658
PF05697	PF14022	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	658
PF05746	PF14022	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	DALR anticodon binding domain	26473	658
PF06071	PF14022	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	658
PF06418	PF14022	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	658
PF06421	PF14022	Low	NA	NA	NA	GTP-binding protein LepA C-terminus	25825	658
PF07516	PF14022	Low	GO:0017038	BP	protein import	SecA Wing and Scaffold domain	26154	658
PF07517	PF14022	Low	GO:0017038	BP	protein import	SecA DEAD-like domain	26064	658
PF08207	PF14022	Low	NA	NA	NA	Elongation factor P (EF-P) KOW-like domain	26144	658
PF08241	PF14022	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	658
PF08275	PF14022	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	658
PF08299	PF14022	Low	GO:0006275	BP	regulation of DNA replication	Bacterial dnaA protein helix-turn-helix	25734	658
PF08299	PF14022	Low	GO:0006270	BP	DNA replication initiation	Bacterial dnaA protein helix-turn-helix	25734	658
PF08459	PF14022	Low	NA	NA	NA	UvrC Helix-hairpin-helix N-terminal	25901	658
PF08529	PF14022	Low	GO:0031554	BP	regulation of DNA-templated transcription, termination	NusA N-terminal domain	26089	658
PF09285	PF14022	Low	GO:0043043	BP	peptide biosynthetic process	Elongation factor P, C-terminal	26200	658
PF10385	PF14022	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit external 1 domain	24715	658
PF12169	PF14022	Low	NA	NA	NA	DNA polymerase III subunits gamma and tau domain III	23545	658
PF12344	PF14022	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	658
PF13184	PF14022	Low	NA	NA	NA	NusA-like KH domain	26152	658
PF13522	PF14022	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	658
PF13603	PF14022	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	658
PF01035	PF14026	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	966
PF07883	PF14026	Low	NA	NA	NA	Cupin domain	23778	966
PF12681	PF14026	Low	NA	NA	NA	Glyoxalase-like domain	20821	966
PF13561	PF14026	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	966
PF00984	PF14065	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, central domain	21830	144
PF01381	PF14065	Low	NA	NA	NA	Helix-turn-helix	24979	144
PF03720	PF14065	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain	21328	144
PF03721	PF14065	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	21855	144
PF04717	PF14065	High	NA	NA	NA	Type VI secretion system, phage-baseplate injector	6838	144
PF04965	PF14065	High	NA	NA	NA	Gene 25-like lysozyme	6730	144
PF04984	PF14065	High	NA	NA	NA	Phage tail sheath protein subtilisin-like domain	5849	144
PF06841	PF14065	Very high	NA	NA	NA	T4-like virus tail tube protein gp19	2685	144
PF07883	PF14065	Low	NA	NA	NA	Cupin domain	23778	144
PF08241	PF14065	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	144
PF13699	PF14065	High	NA	NA	NA	Domain of unknown function (DUF4157)	2569	144
PF00121	PF14082	Low	GO:0008152	BP	metabolic process	Triosephosphate isomerase	26009	2
PF00164	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S12/S23	25224	2
PF00177	PF14082	Low	NA	NA	NA	Ribosomal protein S7p/S5e	25184	2
PF00181	PF14082	Low	GO:0006412	BP	translation	Ribosomal Proteins L2, RNA binding domain	25441	2
PF00189	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S3, C-terminal domain	25660	2
PF00203	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S19	25552	2
PF00237	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L22p/L17e	25623	2
PF00238	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L14p/L23e	25796	2
PF00252	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L16p/L10e	25740	2
PF00276	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L23	25636	2
PF00281	PF14082	Low	NA	NA	NA	Ribosomal protein L5	25773	2
PF00297	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L3	25562	2
PF00318	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S2	26126	2
PF00338	PF14082	Low	NA	NA	NA	Ribosomal protein S10p/S20e	25443	2
PF00347	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L6	25913	2
PF00366	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S17	25760	2
PF00406	PF14082	Low	NA	NA	NA	Adenylate kinase	26291	2
PF00410	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S8	25908	2
PF00453	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L20	26122	2
PF00573	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L4/L1 family	25668	2
PF00623	PF14082	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 2	24707	2
PF00707	PF14082	Low	GO:0006413	BP	translational initiation	Translation initiation factor IF-3, C-terminal domain	26041	2
PF00828	PF14082	Low	NA	NA	NA	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	25814	2
PF00861	PF14082	Low	GO:0006412	BP	translation	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	25789	2
PF01043	PF14082	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	2
PF01245	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein L19	26142	2
PF01668	PF14082	Low	NA	NA	NA	SmpB protein	25791	2
PF02357	PF14082	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	2
PF02403	PF14082	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	2
PF02767	PF14082	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	2
PF03143	PF14082	Low	NA	NA	NA	Elongation factor Tu C-terminal domain	24618	2
PF03719	PF14082	Low	GO:0006412	BP	translation	Ribosomal protein S5, C-terminal domain	25975	2
PF03946	PF14082	Low	NA	NA	NA	Ribosomal protein L11, N-terminal domain	25256	2
PF03947	PF14082	Low	GO:0006412	BP	translation	Ribosomal Proteins L2, C-terminal domain	25556	2
PF04851	PF14082	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	2
PF04997	PF14082	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 1	24706	2
PF04998	PF14082	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb1, domain 5	25447	2
PF05697	PF14082	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	2
PF05697	PF14082	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	2
PF07517	PF14082	Low	GO:0017038	BP	protein import	SecA DEAD-like domain	26064	2
PF12344	PF14082	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	2
PF13603	PF14082	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	2
PF12094	PF14086	Very high	NA	NA	NA	Protein of unknown function (DUF3570)	1377	405
PF13304	PF14103	Very high	NA	NA	NA	AAA domain, putative AbiEii toxin, Type IV TA system	16155	3007
PF11298	PF14155	Low	NA	NA	NA	Protein of unknown function (DUF3099)	2797	60
PF14188	PF14187	Very high	NA	NA	NA	Domain of unknown function (DUF4311)	721	80
PF14189	PF14187	Very high	NA	NA	NA	Domain of unknown function (DUF4312)	716	80
PF14272	PF14187	Very high	NA	NA	NA	Glycine-rich SFCGS	727	80
PF14187	PF14188	Very high	NA	NA	NA	Domain of unknown function (DUF4310)	723	1077
PF14189	PF14188	Very high	NA	NA	NA	Domain of unknown function (DUF4312)	716	1077
PF14272	PF14188	Very high	NA	NA	NA	Glycine-rich SFCGS	727	1077
PF14187	PF14189	Very high	NA	NA	NA	Domain of unknown function (DUF4310)	723	180
PF14188	PF14189	Very high	NA	NA	NA	Domain of unknown function (DUF4311)	721	180
PF14272	PF14189	Very high	NA	NA	NA	Glycine-rich SFCGS	727	180
PF12750	PF14193	Low	NA	NA	NA	Maff2 family	662	912
PF14195	PF14193	High	NA	NA	NA	Domain of unknown function (DUF4316)	451	912
PF14193	PF14195	High	NA	NA	NA	Domain of unknown function (DUF4315)	448	322
PF14203	PF14195	High	NA	NA	NA	Putative tranposon-transfer assisting protein	346	322
PF09654	PF14217	Low	NA	NA	NA	Protein of unknown function (DUF2396)	271	133
PF12681	PF14224	Low	NA	NA	NA	Glyoxalase-like domain	20821	2882
PF13489	PF14224	Low	NA	NA	NA	Methyltransferase domain	22564	2882
PF14231	PF14232	Very high	NA	NA	NA	GXWXG protein	1096	953
PF04839	PF14233	Low	GO:0006412	BP	translation	Plastid and cyanobacterial ribosomal protein (PSRP-3 / Ycf65)	394	322
PF06485	PF14233	Low	NA	NA	NA	RNA-binding protein Tab2/Atab2	400	322
PF06799	PF14233	Low	NA	NA	NA	Conserved in the green lineage and diatoms 27	399	322
PF08846	PF14233	Low	NA	NA	NA	Domain of unknown function (DUF1816)	389	322
PF09353	PF14233	Low	NA	NA	NA	Domain of unknown function (DUF1995)	397	322
PF11237	PF14233	High	NA	NA	NA	Protein of unknown function (DUF3038)	399	322
PF09822	PF14238	High	NA	NA	NA	ABC-type uncharacterized transport system	7115	985
PF13489	PF14248	Low	NA	NA	NA	Methyltransferase domain	22564	207
PF13561	PF14248	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	207
PF00121	PF14267	Low	GO:0008152	BP	metabolic process	Triosephosphate isomerase	26009	724
PF00154	PF14267	Low	GO:0006281	BP	DNA repair	recA bacterial DNA recombination protein	26266	724
PF00164	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S12/S23	25224	724
PF00177	PF14267	Low	NA	NA	NA	Ribosomal protein S7p/S5e	25184	724
PF00298	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein L11, RNA binding domain	25295	724
PF00318	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S2	26126	724
PF00453	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein L20	26122	724
PF00466	PF14267	Low	GO:0042254	BP	ribosome biogenesis	Ribosomal protein L10	25304	724
PF00542	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein L7/L12 C-terminal domain	25267	724
PF00562	PF14267	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 6	25250	724
PF00707	PF14267	Low	GO:0006413	BP	translational initiation	Translation initiation factor IF-3, C-terminal domain	26041	724
PF00712	PF14267	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	724
PF00886	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S16	25914	724
PF01018	PF14267	Low	NA	NA	NA	GTP1/OBG	25327	724
PF01043	PF14267	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	724
PF01084	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	724
PF01195	PF14267	Low	NA	NA	NA	Peptidyl-tRNA hydrolase	26231	724
PF01250	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S6	26036	724
PF01381	PF14267	Low	NA	NA	NA	Helix-turn-helix	24979	724
PF01632	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	724
PF01649	PF14267	Low	GO:0006412	BP	translation	Ribosomal protein S20	25931	724
PF01668	PF14267	Low	NA	NA	NA	SmpB protein	25791	724
PF01807	PF14267	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	724
PF02357	PF14267	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	724
PF02403	PF14267	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	724
PF02768	PF14267	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	724
PF03946	PF14267	Low	NA	NA	NA	Ribosomal protein L11, N-terminal domain	25256	724
PF04561	PF14267	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 2	24752	724
PF04851	PF14267	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	724
PF05491	PF14267	Low	GO:0006281	BP	DNA repair	RuvB C-terminal winged helix domain	25667	724
PF05491	PF14267	Low	GO:0006310	BP	DNA recombination	RuvB C-terminal winged helix domain	25667	724
PF05697	PF14267	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	724
PF05697	PF14267	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	724
PF05746	PF14267	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	DALR anticodon binding domain	26473	724
PF06071	PF14267	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	724
PF06421	PF14267	Low	NA	NA	NA	GTP-binding protein LepA C-terminus	25825	724
PF08275	PF14267	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	724
PF08299	PF14267	Low	GO:0006275	BP	regulation of DNA replication	Bacterial dnaA protein helix-turn-helix	25734	724
PF08299	PF14267	Low	GO:0006270	BP	DNA replication initiation	Bacterial dnaA protein helix-turn-helix	25734	724
PF10385	PF14267	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit external 1 domain	24715	724
PF12344	PF14267	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	724
