KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K14367	PF12277	Low	map01130	Biosynthesis of antibiotics	eryBV; erythronolide mycarosyltransferase [EC:2.4.1.328]	480	NA
K14368	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	NA
K14368	PF12277	Low	map01052	Type I polyketide structures	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	NA
K14368	PF12277	Low	map01100	Metabolic pathways	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	NA
K14368	PF12277	Low	map01130	Biosynthesis of antibiotics	eryCIII; 3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]	483	NA
K15670	PF12277	Low	map01051	Biosynthesis of ansamycins	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	NA
K15670	PF12277	Low	map01052	Type I polyketide structures	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	NA
K15884	PF12277	Low	map01056	Biosynthesis of type II polyketide backbone	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	NA
K15884	PF12277	Low	map01100	Metabolic pathways	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	NA
K15884	PF12277	Low	map01130	Biosynthesis of antibiotics	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase) [EC:4.2.1.-]	543	NA
K15885	PF12277	Low	map01056	Biosynthesis of type II polyketide backbone	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	NA
K15885	PF12277	Low	map01100	Metabolic pathways	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	NA
K15885	PF12277	Low	map01130	Biosynthesis of antibiotics	mtmQ; C7-C12 aromatase (ARO/CYC) [EC:4.2.1.-]	432	NA
K15934	PF12277	Low	map01057	Biosynthesis of type II polyketide products	lndGT1; D-olivosyltransferase	562	NA
K15934	PF12277	Low	map01130	Biosynthesis of antibiotics	lndGT1; D-olivosyltransferase	562	NA
K15935	PF12277	Low	map01057	Biosynthesis of type II polyketide products	lndGT4; L-rhodinosyltransferase	496	NA
K15935	PF12277	Low	map01130	Biosynthesis of antibiotics	lndGT4; L-rhodinosyltransferase	496	NA
K15937	PF12277	Low	map01057	Biosynthesis of type II polyketide products	urdGT1a; glycosyltransferase	452	NA
K15937	PF12277	Low	map01130	Biosynthesis of antibiotics	urdGT1a; glycosyltransferase	452	NA
K15938	PF12277	Low	map01057	Biosynthesis of type II polyketide products	urdGT1c; glycosyltransferase	404	NA
K15938	PF12277	Low	map01130	Biosynthesis of antibiotics	urdGT1c; glycosyltransferase	404	NA
K15946	PF12277	Low	map01057	Biosynthesis of type II polyketide products	aknS; aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]	516	NA
K15946	PF12277	Low	map01130	Biosynthesis of antibiotics	aknS; aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]	516	NA
K15948	PF12277	Low	map01057	Biosynthesis of type II polyketide products	aknK; aclacinomycin-T 2-deoxy-L-fucose transferase [EC:2.4.1.327]	498	NA
K15948	PF12277	Low	map01130	Biosynthesis of antibiotics	aknK; aclacinomycin-T 2-deoxy-L-fucose transferase [EC:2.4.1.327]	498	NA
K15951	PF12277	Low	map01057	Biosynthesis of type II polyketide products	dnrS; glycosyltransferase [EC:2.4.1.-]	507	NA
K15951	PF12277	Low	map01130	Biosynthesis of antibiotics	dnrS; glycosyltransferase [EC:2.4.1.-]	507	NA
K15960	PF12277	Low	map01057	Biosynthesis of type II polyketide products	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	NA
K15960	PF12277	Low	map01100	Metabolic pathways	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	NA
K15960	PF12277	Low	map01130	Biosynthesis of antibiotics	mtmGIV; glycosyltransferase [EC:2.4.1.-]	453	NA
K15964	PF12277	Low	map01057	Biosynthesis of type II polyketide products	mtmGI; glycosyltransferase [EC:2.4.1.-]	458	NA
K15964	PF12277	Low	map01100	Metabolic pathways	mtmGI; glycosyltransferase [EC:2.4.1.-]	458	NA
K15964	PF12277	Low	map01130	Biosynthesis of antibiotics	mtmGI; glycosyltransferase [EC:2.4.1.-]	458	NA
K15989	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	NA
K15989	PF12277	Low	map01052	Type I polyketide structures	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	NA
K15989	PF12277	Low	map01100	Metabolic pathways	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	NA
K15989	PF12277	Low	map01130	Biosynthesis of antibiotics	tylMII; tylactone mycaminosyltransferase [EC:2.4.1.316]	525	NA
K15998	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	megDI; TDP-megosamine glycosyltransferase	427	NA
K15998	PF12277	Low	map01130	Biosynthesis of antibiotics	megDI; TDP-megosamine glycosyltransferase	427	NA
K16000	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF12277	Low	map01052	Type I polyketide structures	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF12277	Low	map01100	Metabolic pathways	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16000	PF12277	Low	map01130	Biosynthesis of antibiotics	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	NA
K16004	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	NA
K16004	PF12277	Low	map01052	Type I polyketide structures	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	NA
K16004	PF12277	Low	map01100	Metabolic pathways	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	NA
K16004	PF12277	Low	map01130	Biosynthesis of antibiotics	desVII; narbonolide/10-deoxymethynolide desosaminyltransferase [EC:2.4.1.277]	499	NA
K16010	PF12277	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	oleGI; desosaminyltransferase OleGI	550	NA
K16010	PF12277	Low	map01052	Type I polyketide structures	oleGI; desosaminyltransferase OleGI	550	NA
K16010	PF12277	Low	map01100	Metabolic pathways	oleGI; desosaminyltransferase OleGI	550	NA
K16010	PF12277	Low	map01130	Biosynthesis of antibiotics	oleGI; desosaminyltransferase OleGI	550	NA
K16029	PF12277	Low	map01051	Biosynthesis of ansamycins	asmA; ansamitocin polyketide synthase A	552	NA
K16029	PF12277	Low	map01052	Type I polyketide structures	asmA; ansamitocin polyketide synthase A	552	NA
K16377	PF12277	Low	map01052	Type I polyketide structures	fkbA; polyketide synthase FkbA	408	NA
K16393	PF12277	Low	map01052	Type I polyketide structures	fscB; candicidin polyketide synthase FscB	673	NA
K16401	PF12277	Low	map01052	Type I polyketide structures	sorA; soraphen polyketide synthase A	482	NA
K16420	PF12277	Low	map01052	Type I polyketide structures	rapA_B_C; rapamycin polyketide synthase A/B/C	498	NA
K19203	PF12277	Low	map01052	Type I polyketide structures	pimS1; pimaricinolide synthase PimS1	482	NA
K19208	PF12277	Low	map01052	Type I polyketide structures	fscE; candicidin polyketide synthase FscE	442	NA
K21187	PF12277	Low	map01059	Biosynthesis of enediyne antibiotics	sgcA6; glycosyltransferase [EC:2.4.1.-]	379	NA
K21194	PF12277	Low	map01059	Biosynthesis of enediyne antibiotics	mdpA6; glycosyltransferase [EC:2.4.1.-]	375	NA
K21229	PF12277	Low	map01059	Biosynthesis of enediyne antibiotics	kedS6; glycosyltransferase [EC:2.4.1.-]	519	NA
K21230	PF12277	Low	map01059	Biosynthesis of enediyne antibiotics	kedS10; glycosyltransferase [EC:2.4.1.-]	465	NA
K03403	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]	1110	NA
K03403	PF12291	High	map01100	Metabolic pathways	chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]	1110	NA
K03403	PF12291	High	map01110	Biosynthesis of secondary metabolites	chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]	1110	NA
K03404	PF12291	Low	map00860	Porphyrin and chlorophyll metabolism	chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]	4064	NA
K03404	PF12291	Low	map01100	Metabolic pathways	chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]	4064	NA
K03404	PF12291	Low	map01110	Biosynthesis of secondary metabolites	chlD, bchD; magnesium chelatase subunit D [EC:6.6.1.1]	4064	NA
K03428	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	1180	NA
K03428	PF12291	High	map01100	Metabolic pathways	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	1180	NA
K03428	PF12291	High	map01110	Biosynthesis of secondary metabolites	bchM, chlM; magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	1180	NA
K04035	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]	972	NA
K04035	PF12291	Very high	map01100	Metabolic pathways	E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]	972	NA
K04035	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]	972	NA
K04037	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	chlL; light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	1026	NA
K04037	PF12291	Very high	map01100	Metabolic pathways	chlL; light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	1026	NA
K04037	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	chlL; light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	1026	NA
K04038	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	chlN; light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]	1019	NA
K04038	PF12291	High	map01100	Metabolic pathways	chlN; light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]	1019	NA
K04038	PF12291	High	map01110	Biosynthesis of secondary metabolites	chlN; light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]	1019	NA
K04039	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]	1017	NA
K04039	PF12291	High	map01100	Metabolic pathways	chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]	1017	NA
K04039	PF12291	High	map01110	Biosynthesis of secondary metabolites	chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]	1017	NA
K04040	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	1255	NA
K04040	PF12291	High	map01100	Metabolic pathways	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	1255	NA
K04040	PF12291	High	map01110	Biosynthesis of secondary metabolites	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	1255	NA
K08926	PF12291	Very high	map02020	Two-component system	pufA; light-harvesting complex 1 alpha chain	582	NA
K08927	PF12291	Very high	map02020	Two-component system	pufB; light-harvesting complex 1 beta chain	585	NA
K08928	PF12291	Very high	map02020	Two-component system	pufL; photosynthetic reaction center L subunit	608	NA
K08929	PF12291	Very high	map02020	Two-component system	pufM; photosynthetic reaction center M subunit	607	NA
K09844	PF12291	Very high	map00906	Carotenoid biosynthesis	crtC; carotenoid 1,2-hydratase [EC:4.2.1.131]	656	NA
K09844	PF12291	Very high	map01100	Metabolic pathways	crtC; carotenoid 1,2-hydratase [EC:4.2.1.131]	656	NA
K09844	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	crtC; carotenoid 1,2-hydratase [EC:4.2.1.131]	656	NA
K09845	PF12291	Low	map00906	Carotenoid biosynthesis	crtD; 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]	2369	NA
K09845	PF12291	Low	map01100	Metabolic pathways	crtD; 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]	2369	NA
K09845	PF12291	Low	map01110	Biosynthesis of secondary metabolites	crtD; 1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]	2369	NA
K09846	PF12291	Low	map00906	Carotenoid biosynthesis	crtF; demethylspheroidene O-methyltransferase [EC:2.1.1.210]	1466	NA
K09846	PF12291	Low	map01100	Metabolic pathways	crtF; demethylspheroidene O-methyltransferase [EC:2.1.1.210]	1466	NA
K09846	PF12291	Low	map01110	Biosynthesis of secondary metabolites	crtF; demethylspheroidene O-methyltransferase [EC:2.1.1.210]	1466	NA
K10960	PF12291	Low	map00860	Porphyrin and chlorophyll metabolism	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	2832	NA
K10960	PF12291	Low	map00900	Terpenoid backbone biosynthesis	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	2832	NA
K10960	PF12291	Low	map01100	Metabolic pathways	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	2832	NA
K10960	PF12291	Low	map01110	Biosynthesis of secondary metabolites	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	2832	NA
K11333	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	bchX; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]	641	NA
K11333	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	bchX; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]	641	NA
K11334	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]	632	NA
K11334	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]	632	NA
K11335	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	bchZ; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]	624	NA
K11335	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	bchZ; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]	624	NA
K11336	PF12291	Very high	map00860	Porphyrin and chlorophyll metabolism	bchF; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	644	NA
K11336	PF12291	Very high	map01110	Biosynthesis of secondary metabolites	bchF; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	644	NA
K11337	PF12291	Low	map00860	Porphyrin and chlorophyll metabolism	bchC; bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	1150	NA
K11337	PF12291	Low	map01110	Biosynthesis of secondary metabolites	bchC; bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	1150	NA
K13603	PF12291	High	map00860	Porphyrin and chlorophyll metabolism	bchV; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]	593	NA
K13603	PF12291	High	map01110	Biosynthesis of secondary metabolites	bchV; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]	593	NA
K13991	PF12291	Very high	map02020	Two-component system	puhA; photosynthetic reaction center H subunit	607	NA
K01052	PF12359	High	map00100	Steroid biosynthesis	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	334
K01052	PF12359	High	map04142	Lysosome	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	334
K01052	PF12359	High	map04979	Cholesterol metabolism	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	334
K01228	PF12359	High	map00510	N-Glycan biosynthesis	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	334
K01228	PF12359	High	map01100	Metabolic pathways	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	334
K01228	PF12359	High	map04141	Protein processing in endoplasmic reticulum	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	334
K03032	PF12359	High	map03050	Proteasome	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	334
K03032	PF12359	High	map05169	Epstein-Barr virus infection	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	334
K06670	PF12359	High	map04110	Cell cycle	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	334
K06670	PF12359	High	map04111	Cell cycle - yeast	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	334
K06825	PF12359	High	map04350	TGF-beta signaling pathway	FBN1; fibrillin 1	1	334
K07297	PF12359	High	map04152	AMPK signaling pathway	ADIPOR; adiponectin receptor	1	334
K07297	PF12359	High	map04211	Longevity regulating pathway	ADIPOR; adiponectin receptor	1	334
K07297	PF12359	High	map04920	Adipocytokine signaling pathway	ADIPOR; adiponectin receptor	1	334
K07297	PF12359	High	map04932	Non-alcoholic fatty liver disease (NAFLD)	ADIPOR; adiponectin receptor	1	334
K08513	PF12359	High	map04130	SNARE interactions in vesicular transport	VAMP4; vesicle-associated membrane protein 4	1	334
K11237	PF12359	High	map04011	MAPK signaling pathway - yeast	BEM1; bud emergence protein 1	1	334
K11238	PF12359	High	map04011	MAPK signaling pathway - yeast	BNI1; cytokinesis protein	1	334
K12190	PF12359	High	map04144	Endocytosis	VPS36, EAP45; ESCRT-II complex subunit VPS36	1	334
K12389	PF12359	High	map04142	Lysosome	BTS, CLN3; battenin	1	334
K12846	PF12359	High	map03040	Spliceosome	SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3	1	334
K12848	PF12359	High	map03040	Spliceosome	SNU23; U4/U6.U5 tri-snRNP component SNU23	1	334
K13333	PF12359	High	map00564	Glycerophospholipid metabolism	PLB; lysophospholipase [EC:3.1.1.5]	1	334
K14312	PF12359	High	map03013	RNA transport	NUP155, NUP170, NUP157; nuclear pore complex protein Nup155	1	334
K14402	PF12359	High	map03015	mRNA surveillance pathway	CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2	1	334
K14537	PF12359	High	map03008	Ribosome biogenesis in eukaryotes	NUG2, GNL2; nuclear GTP-binding protein	1	334
K14567	PF12359	High	map03008	Ribosome biogenesis in eukaryotes	UTP14; U3 small nucleolar RNA-associated protein 14	1	334
K15156	PF12359	High	map04919	Thyroid hormone signaling pathway	MED14, RGR1; mediator of RNA polymerase II transcription subunit 14	1	334
K20168	PF12359	High	map04137	Mitophagy - animal	TBC1D15; TBC1 domain family member 15	1	334
K20184	PF12359	High	map04138	Autophagy - yeast	VPS41; vacuolar protein sorting-associated protein 41	1	334
K08303	PF12392	High	map05120	Epithelial cell signaling in Helicobacter pylori infection	K08303; putative protease [EC:3.4.-.-]	13798	5
K07751	PF12404	High	map00480	Glutathione metabolism	pepB; PepB aminopeptidase [EC:3.4.11.23]	1506	880
K07751	PF12404	High	map01100	Metabolic pathways	pepB; PepB aminopeptidase [EC:3.4.11.23]	1506	880
K01819	PF12408	High	map00052	Galactose metabolism	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	1858	36
K01819	PF12408	High	map01100	Metabolic pathways	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	1858	36
K01052	PF12449	High	map00100	Steroid biosynthesis	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	34
K01052	PF12449	High	map04142	Lysosome	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	34
K01052	PF12449	High	map04979	Cholesterol metabolism	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	34
K01228	PF12449	High	map00510	N-Glycan biosynthesis	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	34
K01228	PF12449	High	map01100	Metabolic pathways	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	34
K01228	PF12449	High	map04141	Protein processing in endoplasmic reticulum	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	34
K03032	PF12449	High	map03050	Proteasome	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	34
K03032	PF12449	High	map05169	Epstein-Barr virus infection	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	34
K06670	PF12449	High	map04110	Cell cycle	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	34
K06670	PF12449	High	map04111	Cell cycle - yeast	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	34
K07297	PF12449	High	map04152	AMPK signaling pathway	ADIPOR; adiponectin receptor	1	34
K07297	PF12449	High	map04211	Longevity regulating pathway	ADIPOR; adiponectin receptor	1	34
K07297	PF12449	High	map04920	Adipocytokine signaling pathway	ADIPOR; adiponectin receptor	1	34
K07297	PF12449	High	map04932	Non-alcoholic fatty liver disease (NAFLD)	ADIPOR; adiponectin receptor	1	34
K08513	PF12449	High	map04130	SNARE interactions in vesicular transport	VAMP4; vesicle-associated membrane protein 4	1	34
K11237	PF12449	High	map04011	MAPK signaling pathway - yeast	BEM1; bud emergence protein 1	1	34
K11238	PF12449	High	map04011	MAPK signaling pathway - yeast	BNI1; cytokinesis protein	1	34
K12190	PF12449	High	map04144	Endocytosis	VPS36, EAP45; ESCRT-II complex subunit VPS36	1	34
K12389	PF12449	High	map04142	Lysosome	BTS, CLN3; battenin	1	34
K12846	PF12449	High	map03040	Spliceosome	SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3	1	34
K12848	PF12449	High	map03040	Spliceosome	SNU23; U4/U6.U5 tri-snRNP component SNU23	1	34
K13333	PF12449	High	map00564	Glycerophospholipid metabolism	PLB; lysophospholipase [EC:3.1.1.5]	1	34
K14312	PF12449	High	map03013	RNA transport	NUP155, NUP170, NUP157; nuclear pore complex protein Nup155	1	34
K14402	PF12449	High	map03015	mRNA surveillance pathway	CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2	1	34
K14537	PF12449	High	map03008	Ribosome biogenesis in eukaryotes	NUG2, GNL2; nuclear GTP-binding protein	1	34
K14567	PF12449	High	map03008	Ribosome biogenesis in eukaryotes	UTP14; U3 small nucleolar RNA-associated protein 14	1	34
K15156	PF12449	High	map04919	Thyroid hormone signaling pathway	MED14, RGR1; mediator of RNA polymerase II transcription subunit 14	1	34
K20168	PF12449	High	map04137	Mitophagy - animal	TBC1D15; TBC1 domain family member 15	1	34
K20184	PF12449	High	map04138	Autophagy - yeast	VPS41; vacuolar protein sorting-associated protein 41	1	34
K02092	PF12452	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	590
K02092	PF12452	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	590
K02095	PF12452	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	590
K02095	PF12452	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	590
K02096	PF12452	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	590
K02096	PF12452	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	590
K02285	PF12452	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	590
K02285	PF12452	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	590
K02629	PF12452	Low	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	590
K02629	PF12452	Low	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	590
K02634	PF12452	High	map00195	Photosynthesis	petA; apocytochrome f	402	590
K02634	PF12452	High	map01100	Metabolic pathways	petA; apocytochrome f	402	590
K02643	PF12452	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	590
K02643	PF12452	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	590
K02689	PF12452	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	590
K02689	PF12452	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	590
K02690	PF12452	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	590
K02690	PF12452	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	590
K02692	PF12452	Low	map00195	Photosynthesis	psaD; photosystem I subunit II	401	590
K02692	PF12452	Low	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	590
K02693	PF12452	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	590
K02693	PF12452	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	590
K02694	PF12452	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	590
K02694	PF12452	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	590
K02696	PF12452	High	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	590
K02697	PF12452	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	590
K02699	PF12452	High	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	590
K02700	PF12452	Low	map00195	Photosynthesis	psaM; photosystem I subunit XII	285	590
K02704	PF12452	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	590
K02704	PF12452	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	590
K02705	PF12452	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	590
K02705	PF12452	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	590
K02706	PF12452	High	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	590
K02706	PF12452	High	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	590
K02707	PF12452	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	590
K02707	PF12452	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	590
K02708	PF12452	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	590
K02708	PF12452	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	590
K02709	PF12452	Low	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	590
K02711	PF12452	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	590
K02713	PF12452	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	590
